"Notes"	"County of Residence"	"County of Residence Code"	Births	Total Population	Birth Rate	Female Population	Fertility Rate	Average Age of Mother (years)	Average OE Gestational Age (weeks)	Average Birth Weight (grams)	Average Pre-pregnancy BMI	Average Number of Prenatal Visits
	"Unidentified Counties, RI"	"44999"	948	130561	7.26	22699	41.76	31.16	38.67	3312.65	25.77	13.08
	"Aiken County, SC"	"45003"	1803	170872	10.55	31229	57.73	27.81	38.20	3205.13	28.10	10.91
	"Anderson County, SC"	"45007"	2172	202558	10.72	37721	57.58	27.62	38.15	3212.89	28.19	13.39
	"Beaufort County, SC"	"45013"	1871	192122	9.74	29933	62.51	28.33	38.38	3251.92	26.97	11.84
	"Berkeley County, SC"	"45015"	2869	227907	12.59	45825	62.61	28.66	38.18	3241.32	28.10	10.92
	"Charleston County, SC"	"45019"	4966	411406	12.07	86288	57.55	30.08	38.22	3217.64	26.68	10.68
	"Dorchester County, SC"	"45035"	1859	162809	11.42	32588	57.05	28.67	38.27	3252.36	28.49	10.92
	"Florence County, SC"	"45041"	1624	138293	11.74	27223	59.66	27.55	38.03	3122.45	28.63	12.19
	"Greenville County, SC"	"45045"	6261	523542	11.96	104319	60.02	28.94	38.35	3259.98	27.30	12.19
	"Horry County, SC"	"45051"	3154	354081	8.91	58302	54.10	28.23	38.14	3230.88	27.79	12.22
	"Lexington County, SC"	"45063"	3195	298750	10.69	57385	55.68	28.47	38.30	3267.89	28.38	12.70
	"Pickens County, SC"	"45077"	1286	126884	10.14	26771	48.04	27.43	38.37	3294.80	27.63	12.59
	"Richland County, SC"	"45079"	4841	415759	11.64	96075	50.39	28.99	38.13	3180.72	28.95	13.17
	"Spartanburg County, SC"	"45083"	3999	319785	12.51	62602	63.88	27.92	38.25	3239.53	28.24	13.49
	"Sumter County, SC"	"45085"	1413	106721	13.24	20804	67.92	27.21	38.01	3152.18	29.80	11.81
	"York County, SC"	"45091"	2982	280979	10.61	56105	53.15	28.85	38.43	3230.40	27.53	12.83
	"Unidentified Counties, SC"	"45999"	12743	1216246	10.48	211011	60.39	27.09	38.05	3152.37	29.34	12.27
	"Minnehaha County, SD"	"46099"	2789	193134	14.44	38429	72.58	29.00	38.49	3293.21	27.00	11.27
	"Pennington County, SD"	"46103"	1451	113775	12.75	20166	71.95	27.90	38.31	3301.45	26.94	10.76
	"Unidentified Counties, SD"	"46999"	7209	577750	12.48	103494	69.66	28.41	38.47	3335.72	27.25	10.28
	"Blount County, TN"	"47009"	1240	133088	9.32	23274	53.28	27.59	38.23	3257.61	27.44	13.07
	"Davidson County, TN"	"47037"	10004	694144	14.41	167427	59.75	29.33	38.38	3245.37	26.37	9.87
	"Hamilton County, TN"	"47065"	4289	367804	11.66	72708	58.99	28.60	38.38	3227.31	26.90	11.29
	"Knox County, TN"	"47093"	5125	470313	10.90	98502	52.03	28.79	38.37	3259.62	26.98	12.92
	"Montgomery County, TN"	"47125"	3492	208993	16.71	48161	72.51	27.18	38.28	3251.46	27.14	11.19
	"Rutherford County, TN"	"47149"	4230	332285	12.73	75525	56.01	28.64	38.13	3238.66	27.67	10.83
	"Shelby County, TN"	"47157"	12806	937166	13.66	195707	65.43	27.76	38.18	3135.77	27.78	9.55
	"Sullivan County, TN"	"47163"	1475	158348	9.31	26741	55.16	27.36	38.32	3278.90	27.50	11.09
	"Sumner County, TN"	"47165"	2119	191283	11.08	36028	58.82	28.62	38.20	3282.47	27.34	9.95
	"Washington County, TN"	"47179"	1221	129375	9.44	25898	47.15	28.10	38.38	3283.81	27.71	11.78
	"Williamson County, TN"	"47187"	2228	238412	9.35	44564	50.00	31.80	38.52	3363.14	24.75	11.12
	"Wilson County, TN"	"47189"	1634	144657	11.30	27107	60.28	29.18	38.18	3273.75	26.79	11.47
	"Unidentified Counties, TN"	"47999"	30587	2823306	10.83	492219	62.14	26.92	38.24	3246.84	28.02	11.40
	"Bell County, TX"	"48027"	6160	362924	16.97	79492	77.49	27.05	38.23	3221.74	27.58	11.56
	"Bexar County, TX"	"48029"	26101	2003554	13.03	433339	60.23	28.30	38.13	3216.81	27.55	10.76
	"Brazoria County, TX"	"48039"	4759	374264	12.72	75291	63.21	29.02	38.11	3229.86	27.97	10.53
	"Brazos County, TX"	"48041"	2648	229211	11.55	61674	42.94	28.15	38.21	3248.41	27.63	9.96
	"Cameron County, TX"	"48061"	6131	423163	14.49	84995	72.13	26.90	38.02	3193.84	28.33	11.35
	"Collin County, TX"	"48085"	11524	1034730	11.14	216941	53.12	30.69	38.37	3275.77	26.13	11.29
	"Comal County, TX"	"48091"	1666	156209	10.67	27565	60.44	29.09	38.26	3287.36	26.58	10.15
	"Dallas County, TX"	"48113"	37544	2635516	14.25	577158	65.05	28.58	38.37	3233.52	27.04	9.77
	"Denton County, TX"	"48121"	10235	887207	11.54	196609	52.06	30.15	38.39	3283.70	26.55	10.90
	"Ector County, TX"	"48135"	3221	166223	19.38	34962	92.13	26.68	37.96	3177.84	28.00	9.93
	"Ellis County, TX"	"48139"	2272	184826	12.29	36803	61.73	28.35	38.33	3303.29	27.95	10.02
	"El Paso County, TX"	"48141"	11637	839238	13.87	175175	66.43	27.24	38.25	3183.04	26.96	9.85
	"Fort Bend County, TX"	"48157"	9052	811688	11.15	167063	54.18	31.00	38.11	3209.22	26.69	9.91
	"Galveston County, TX"	"48167"	3957	342139	11.57	67212	58.87	28.69	38.10	3220.75	28.16	10.93
	"Grayson County, TX"	"48181"	1583	136212	11.62	25001	63.32	27.39	38.27	3271.39	27.98	11.30
	"Gregg County, TX"	"48183"	1721	123945	13.89	24363	70.64	27.18	38.08	3251.01	27.99	10.71
	"Guadalupe County, TX"	"48187"	1855	166847	11.12	33599	55.21	28.72	38.22	3268.09	27.60	10.43
	"Harris County, TX"	"48201"	66354	4713325	14.08	1020690	65.01	28.88	38.15	3202.75	27.41	9.63
	"Hays County, TX"	"48209"	2562	230191	11.13	54839	46.72	29.30	38.31	3284.02	27.19	10.95
	"Hidalgo County, TX"	"48215"	13797	868707	15.88	184285	74.87	27.01	37.84	3163.38	28.66	10.91
	"Jefferson County, TX"	"48245"	3323	251565	13.21	47139	70.49	27.22	38.17	3169.25	28.21	10.71
	"Johnson County, TX"	"48251"	2176	175817	12.38	33807	64.37	27.63	38.31	3312.14	28.02	9.65
	"Kaufman County, TX"	"48257"	1824	136154	13.40	28165	64.76	28.61	38.22	3277.94	28.36	10.48
	"Lubbock County, TX"	"48303"	4104	310569	13.21	72516	56.59	27.27	38.34	3221.16	27.83	11.27
	"McLennan County, TX"	"48309"	3301	256623	12.86	55615	59.35	27.48	38.29	3271.30	28.23	11.12
	"Midland County, TX"	"48329"	2983	176832	16.87	37400	79.76	27.63	38.16	3210.65	26.99	10.88
	"Montgomery County, TX"	"48339"	7395	607391	12.18	119121	62.08	29.23	38.35	3284.99	27.00	10.17
	"Nueces County, TX"	"48355"	4461	362294	12.31	73914	60.35	27.63	38.05	3182.65	28.24	9.20
	"Parker County, TX"	"48367"	1613	142878	11.29	26129	61.73	28.52	38.34	3310.85	27.12	10.82
	"Potter County, TX"	"48375"	1648	117415	14.04	22742	72.47	26.57	38.30	3176.34	27.91	10.18
	"Randall County, TX"	"48381"	1586	137713	11.52	28510	55.63	27.77	38.50	3243.34	27.13	10.95
	"Smith County, TX"	"48423"	2912	232751	12.51	46846	62.16	27.77	38.26	3259.89	27.75	10.91
	"Tarrant County, TX"	"48439"	27161	2102515	12.92	453256	59.92	28.75	38.28	3239.11	27.55	9.35
	"Taylor County, TX"	"48441"	1958	138034	14.18	30441	64.32	27.19	38.00	3197.25	27.52	9.75
	"Tom Green County, TX"	"48451"	1563	119200	13.11	24458	63.91	27.29	38.14	3214.35	28.28	12.26
	"Travis County, TX"	"48453"	15418	1273954	12.10	301069	51.21	30.24	38.47	3277.50	25.95	11.99
	"Webb County, TX"	"48479"	4622	276652	16.71	58785	78.63	26.90	38.05	3211.45	27.96	9.43
	"Wichita County, TX"	"48485"	1631	132230	12.33	25532	63.88	27.03	38.33	3285.80	27.58	11.56
	"Williamson County, TX"	"48491"	6695	590551	11.34	126538	52.91	30.23	38.41	3292.06	26.57	12.67
	"Unidentified Counties, TX"	"48999"	56446	4764624	11.85	848256	66.54	26.97	38.20	3239.58	28.13	10.59
	"Cache County, UT"	"49005"	2037	128289	15.88	31499	64.67	27.95	38.30	3285.78	26.53	11.59
	"Davis County, UT"	"49011"	5098	355481	14.34	75773	67.28	29.11	38.29	3269.09	26.37	11.28
	"Salt Lake County, UT"	"49035"	16031	1160437	13.81	257112	62.35	29.21	38.37	3235.09	26.46	11.12
	"Utah County, UT"	"49049"	11645	636235	18.30	153572	75.83	28.49	38.36	3281.42	25.68	11.08
	"Washington County, UT"	"49053"	2116	177556	11.92	32282	65.55	28.23	38.37	3260.81	25.65	11.14
	"Weber County, UT"	"49057"	3575	260213	13.74	55470	64.45	27.98	38.25	3219.23	27.50	10.88
	"Unidentified Counties, UT"	"49999"	6324	487747	12.97	96552	65.50	28.14	38.27	3223.93	26.65	11.01
	"Chittenden County, VT"	"50007"	1398	163774	8.54	36992	37.79	31.37	38.81	3359.91	26.53	12.31
	"Unidentified Counties, VT"	"50999"	3963	460215	8.61	77540	51.11	29.40	38.73	3335.18	27.67	12.73
	"Arlington County, VA"	"51013"	2650	236842	11.19	59834	44.29	32.75	38.67	3315.29	24.68	11.23
	"Chesterfield County, VA"	"51041"	3904	352802	11.07	69898	55.85	29.90	38.39	3298.57	28.04	11.33
	"Fairfax County, VA"	"51059"	13376	1147532	11.66	226475	59.06	31.70	38.48	3270.93	25.78	11.50
	"Henrico County, VA"	"51087"	3695	330818	11.17	66393	55.65	30.32	38.43	3259.69	27.20	12.15
	"Loudoun County, VA"	"51107"	4909	413538	11.87	85743	57.25	32.02	38.46	3295.94	25.76	11.72
	"Prince William County, VA"	"51153"	6386	470335	13.58	97110	65.76	30.20	38.47	3284.70	27.36	10.75
	"Spotsylvania County, VA"	"51177"	1568	136215	11.51	25961	60.40	29.11	38.45	3319.78	28.22	11.62
	"Stafford County, VA"	"51179"	1763	152882	11.53	30867	57.12	29.71	38.40	3295.59	27.45	11.42
	"Alexandria city, VA"	"51510"	2486	159428	15.59	39268	63.31	31.91	38.69	3302.46	25.69	11.56
	"Chesapeake city, VA"	"51550"	2945	244835	12.03	49536	59.45	29.15	38.29	3253.74	27.54	12.45
	"Hampton city, VA"	"51650"	1606	134510	11.94	28523	56.31	27.83	38.39	3206.27	28.69	11.90
	"Newport News city, VA"	"51700"	2752	179225	15.36	39637	69.43	27.85	38.28	3203.54	28.67	11.60
	"Norfolk city, VA"	"51710"	3338	242742	13.75	53914	61.91	27.70	38.23	3186.85	27.85	12.18
	"Richmond city, VA"	"51760"	3092	230436	13.42	57896	53.41	28.64	38.30	3168.45	28.12	11.02
	"Virginia Beach city, VA"	"51810"	5458	449974	12.13	92906	58.75	29.43	38.30	3263.11	27.11	12.40
	"Unidentified Counties, VA"	"51999"	37501	3653405	10.26	662812	56.58	28.46	38.43	3265.45	28.28	11.57
	"Benton County, WA"	"53005"	2551	204390	12.48	39183	65.10	28.48	38.57	3341.19	27.59	10.67
	"Clark County, WA"	"53011"	5591	488241	11.45	94744	59.01	29.22	38.72	3353.58	26.87	11.11
	"Cowlitz County, WA"	"53015"	1238	110593	11.19	19658	62.98	27.61	38.66	3378.84	28.81	12.14
	"King County, WA"	"53033"	24113	2252782	10.70	488723	49.34	31.64	38.68	3315.19	25.70	11.15
	"Kitsap County, WA"	"53035"	2953	271473	10.88	49116	60.12	29.05	38.72	3392.39	27.12	9.38
	"Pierce County, WA"	"53053"	11054	904980	12.21	183585	60.21	28.91	38.60	3339.93	27.65	10.57
	"Skagit County, WA"	"53057"	1393	129205	10.78	22516	61.87	28.89	38.70	3355.36	27.59	10.15
	"Snohomish County, WA"	"53061"	9667	822083	11.76	162767	59.39	30.48	38.65	3339.79	26.67	10.72
	"Spokane County, WA"	"53063"	5827	522798	11.15	103690	56.20	28.70	38.60	3318.96	27.00	11.71
	"Thurston County, WA"	"53067"	3060	290536	10.53	57400	53.31	29.05	38.70	3371.69	27.41	11.43
	"Whatcom County, WA"	"53073"	1991	229247	8.68	48722	40.86	29.68	38.72	3406.51	26.61	11.25
	"Yakima County, WA"	"53077"	3488	250873	13.90	49049	71.11	27.72	38.49	3307.20	28.75	11.57
	"Unidentified Counties, WA"	"53999"	11969	1137692	10.52	198104	60.42	28.48	38.57	3336.86	27.74	10.90
	"Berkeley County, WV"	"54003"	1450	119171	12.17	23079	62.83	27.67	38.40	3291.99	28.23	11.66
	"Kanawha County, WV"	"54039"	1757	178124	9.86	31442	55.88	27.60	37.83	3169.42	28.19	11.23
	"Unidentified Counties, WV"	"54999"	14929	1494852	9.99	260553	57.30	27.12	38.15	3217.65	28.33	11.54
	"Brown County, WI"	"55009"	3104	264542	11.73	51325	60.48	28.96	38.40	3320.52	27.87	13.61
	"Dane County, WI"	"55025"	5766	546695	10.55	122917	46.91	30.85	38.53	3324.47	26.30	12.50
	"Fond du Lac County, WI"	"55039"	1023	103403	9.89	18661	54.82	28.53	38.21	3285.57	29.26	11.29
	"Kenosha County, WI"	"55059"	1838	169561	10.84	33176	55.40	28.64	38.41	3299.15	28.61	11.50
	"La Crosse County, WI"	"55063"	1124	118016	9.52	26025	43.19	29.92	38.80	3333.49	27.55	11.69
	"Marathon County, WI"	"55073"	1514	135692	11.16	23658	64.00	29.18	38.45	3332.82	28.03	11.24
	"Milwaukee County, WI"	"55079"	13064	945726	13.81	204555	63.87	28.64	38.24	3186.09	28.45	11.21
	"Outagamie County, WI"	"55087"	2228	187885	11.86	35500	62.76	29.52	38.43	3361.20	27.53	14.00
	"Racine County, WI"	"55101"	2331	196311	11.87	35019	66.56	28.57	38.23	3251.32	28.87	11.14
	"Rock County, WI"	"55105"	1832	163354	11.21	30195	60.67	28.06	38.19	3267.69	28.67	11.84
	"Sheboygan County, WI"	"55117"	1199	115340	10.40	19770	60.65	28.73	38.58	3330.65	28.20	12.02
	"Walworth County, WI"	"55127"	945	103868	9.10	19324	48.90	29.16	38.52	3376.17	27.94	11.73
	"Washington County, WI"	"55131"	1284	136034	9.44	22756	56.42	30.27	38.38	3319.91	27.53	12.38
	"Waukesha County, WI"	"55133"	3724	404198	9.21	69430	53.64	31.19	38.47	3355.52	26.76	12.94
	"Winnebago County, WI"	"55139"	1741	171907	10.13	33562	51.87	29.20	38.35	3308.76	28.67	13.40
	"Unidentified Counties, WI"	"55999"	20553	2059902	9.98	343830	59.78	28.96	38.56	3369.23	28.28	11.44
	"Unidentified Counties, WY"	"56999"	6565	578759	11.34	107944	60.82	28.11	38.40	3160.35	26.62	10.57
"Total"			3747540	328239523	11.42	64325356	58.26	29.11	38.39	3254.32	27.34	11.31
"---"
"Dataset: Natality, 2016-2019 expanded"
"Query Parameters:"
"Year: 2019"
"Group By: County of Residence"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality-expanded.html for more information."
"---"
"Query Date: Sep 28, 2021 5:00:12 PM"
"---"
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers for Disease Control and Prevention"
"(CDC), National Center for Health Statistics (NCHS), Division of Vital Statistics, Natality public-use data 2016-2019, on CDC"
"WONDER Online Database, October 2020. Accessed at http://wonder.cdc.gov/natality-expanded-current.html on Sep 28, 2021 5:00:12"
"PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
"3. Birth rates are calculated as the number of births divided by total population in the given year(s). When the numerator is"
"sub-set by mother's race, mother's hispanicity, location, or year of birth, then the same sub-set for age, race, hispanicity,"
"location and year applies to the denominator population."
"4. Fertility rates are calculated as the number of births divided by the number of females age 15 - 44 years old in the given"
"year(s). When the numerator is sub-set by mother's age, mother's race, mother's hispanicity, location, or year of birth, then"
"the same sub-set for age, race, hispanicity, location and year applies to the denominator population. However, if you sub-set"
"mother's age selecting some years not in the 15 - 44 range, those years of mother's age ouside this range will not be included"
"in the denominator population. If you sub-set mother's age selecting only years outside the 15 - 44 range, the denominator"
"population returned will be zero and flagged ""Not Available""."
"5. Caution should be used when interpreting the Average Age of Mother measure. All ages 12 years and less are coded to 12 years."
"All ages 50 years and over are coded to 50 years. The number of counts in those two age goups are small and should not have a"
"great effect on the average age. Consider doing queries with and without these two age groups and compare the effect on Average"
"Age of Mother measure."
"6. Records where the ""Birth Weight"" is ""Unknown or Not Stated"" are not included in the calculation of the ""Average Birth"
"Weight"" measure."
"7. Records where the gestation age is ""Unknown or Not Stated"" are not included in the calculation of the ""Average Gestational"
"Age"" measure."
"8. Records where the ""BMI"" is ""Unknown or Not Stated"" are not included in the calculation of the ""Average Pre-pregnancy"
"BMI"" measure."
"9. Records where the ""Number of Prenatal Visits"" is ""Unknown or Not Stated"" are not included in the calculation of the"
"""Average Number of Prenatal Visits"" measure."
"10. Birth rates and fertility rates are calculated using the following populations: The populations for year 2019 are from the"
"postcensal single-race series of July 1st estimates of the resident population, released by Census Bureau on June 25, 2020; and"
"the postcensal bridged-race series of July 1st estimates of the resident population, released by NCHS on July 9, 2020. The"
"populations for year 2018 are from the postcensal single-race series of July 1st estimates of the resident population, released"
"by Census Bureau on June 21, 2019; and the postcensal bridged-race series of July 1st estimates of the resident population,"
"released by NCHS on June 27, 2019. The populations for year 2017 are from the postcensal single-race series of July 1st"
"estimates of the resident population, released by Census Bureau on June 21, 2018; and the postcensal bridged-race series of July"
"1st estimates of the resident population, released by NCHS on June 27, 2018. The populations for year 2016 are from the"
"postcensal single-race series of July 1st estimates of the resident population, released by Census Bureau on June 22, 2017; and"
"the postcensal bridged-race series of July 1st estimates of the resident population, released by NCHS on June 26, 2017. More"
"information: http://wonder.cdc.gov/wonder/help/Natality-expanded.html#Denominator-Population-Sources."
"11. The independent city of Baltimore, Maryland (FIPS code 24510) is reported separately from Baltimore County (FIPS code"
"24005)."
"12. The independent city of St. Louis, Missouri (FIPS code 29510) is reported separately from St. Louis County (FIPS code"
"29189)."
"13. Bronx, New York (FIPS code 36005) represents Bronx Borough, New York City."
"14. Kings County, New York (FIPS code 36047) represents Brooklyn Borough, New York City."
"15. New York County, New York (FIPS code 36061) represents Manhattan Borough, New York City."
"16. Queens, New York (FIPS code 36081) represents Queens Borough, New York City."
"17. Richmond County, New York (FIPS code 36085) represents Staten Island Borough, New York City."
